Year,Era,Track Name,Artist Name,Release Date,Genres,Track Duration (seconds),Popularity (Rating),Instrumentalness,Acousticness,Danceability,Valence,Energy
1980,1980s,You Shook Me All Night Long,AC/DC,7/25/1980,"australian rock, hard rock, rock",210.173,86,0.000513,0.00287,0.532,0.755,0.767
1980,1980s,You Make My Dreams (Come True),Daryl Hall & John Oates,1980,"album rock, classic rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock",190.626,82,0.112,0.234,0.751,0.902,0.501
1980,1980s,Back In Black,AC/DC,7/25/1980,"australian rock, hard rock, rock",255.493,85,0.00965,0.011,0.31,0.763,0.7
1980,1980s,9 to 5,Dolly Parton,1980,"classic country pop, country, country dawn",162.466,80,1.54E-06,0.416,0.554,0.813,0.783
1980,1980s,Could You Be Loved,Bob Marley & The Wailers,1980,"reggae, roots reggae",237,82,0.00016,0.36,0.916,0.761,0.72
1980,1980s,Another One Bites The Dust - Remastered 2011,Queen,6/27/1980,"classic rock, glam rock, rock",214.653,73,0.329,0.115,0.932,0.757,0.528
1980,1980s,Crazy Little Thing Called Love - Remastered 2011,Queen,6/27/1980,"classic rock, glam rock, rock",163.373,72,4.43E-06,0.714,0.599,0.715,0.762
1980,1980s,Song of the South,Alabama,1980,"contemporary country, country, country road, country rock",190.8,72,0,0.176,0.486,0.669,0.633
1980,1980s,Any Way You Want It,Journey,1980,"album rock, classic rock, hard rock, mellow gold, rock, soft rock",201.693,74,0.00109,0.00251,0.529,0.571,0.932
1980,1980s,It's Still Rock and Roll to Me,Billy Joel,3/12/1980,"album rock, classic rock, mellow gold, piano rock, rock, singer-songwriter, soft rock",176.44,72,0,0.0994,0.752,0.539,0.684
1980,1980s,I'm in a Hurry (And Don't Know Why),Alabama,1980,"contemporary country, country, country road, country rock",168.813,72,0,0.237,0.748,0.86,0.72
1980,1980s,Louisiana Saturday Night,Mel McDaniel,11/10/1980,"classic country pop, classic oklahoma country, country",144.186,70,0,0.532,0.686,0.982,0.622
1980,1980s,Keep on Loving You,REO Speedwagon,1980,"album rock, classic rock, glam metal, hard rock, mellow gold, rock, soft rock",200.293,73,0,0.0519,0.306,0.41,0.722
1980,1980s,Hells Bells,AC/DC,7/25/1980,"australian rock, hard rock, rock",312.293,76,0.0055,0.00532,0.389,0.303,0.873
1980,1980s,Hit Me With Your Best Shot,Pat Benatar,8/5/1980,"album rock, classic rock, glam metal, hard rock, mellow gold, new romantic, new wave pop, rock, singer-songwriter, soft rock",171.266,71,3.61E-05,0.117,0.741,0.944,0.58
1980,1980s,Hold On Loosely,38 Special,1/1/1980,"album rock, classic rock, country rock, glam metal, hard rock, mellow gold, rock, soft rock, southern rock",280.636,66,0.00134,0.00888,0.568,0.898,0.559
1980,1980s,Shoot to Thrill,AC/DC,7/25/1980,"australian rock, hard rock, rock",317.426,74,0.0879,0.000239,0.457,0.48,0.904
1980,1980s,Army Dreamers,Kate Bush,9/8/1980,"art pop, art rock, baroque pop, new wave pop, permanent wave, piano rock, singer-songwriter",178.64,64,9.60E-05,0.74,0.679,0.318,0.0742
1980,1980s,Lay All Your Love On Me,ABBA,1980,"europop, swedish pop",274.466,77,0.00396,0.117,0.678,0.71,0.727
1980,1980s,Army Dreamers - 2018 Remaster,Kate Bush,9/7/1980,"art pop, art rock, baroque pop, new wave pop, permanent wave, piano rock, singer-songwriter",179.16,64,5.56E-05,0.728,0.696,0.312,0.119
1980,1980s,Take It On the Run,REO Speedwagon,1980,"album rock, classic rock, glam metal, hard rock, mellow gold, rock, soft rock",239.68,67,0,0.0958,0.371,0.452,0.758
1980,1980s,Dinosaur,"Hank Williams, Jr.",6/1/1980,"country, country rock, outlaw country",199.666,64,4.12E-05,0.244,0.614,0.504,0.381
1980,1980s,Don't Stand So Close To Me,The Police,10/3/1980,"album rock, classic rock, permanent wave, rock",242.666,70,0.00107,0.0453,0.799,0.518,0.506
1980,1980s,Against The Wind,Bob Seger,2/25/1980,"album rock, classic rock, country rock, detroit rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock",333.72,66,0.0318,0.28,0.674,0.718,0.771
1980,1980s,Ace of Spades,Motörhead,11/8/1980,"alternative metal, hard rock, metal, nu metal, rock, speed metal",168.32,72,0.0035,0.00313,0.322,0.198,0.991
1980,1980s,What I Like About You,The Romantics,1980,"album rock, mellow gold, new romantic, new wave, new wave pop, power pop, soft rock",175.266,66,6.60E-05,0.282,0.514,0.912,0.942
1980,1980s,Video Killed The Radio Star,The Buggles,1/10/1980,"early synthpop, new wave pop, zolo",253.8,64,0.0188,0.0852,0.675,0.344,0.61
1980,1980s,Whip It,DEVO,1980,"alternative rock, art punk, dance rock, new romantic, new wave, new wave pop, post-punk, synth punk, synthpop, zolo",161.133,65,0.004,0.0744,0.78,0.957,0.869
1980,1980s,Love Will Tear Us Apart - 2020 Remaster,Joy Division,6/1/1980,"alternative rock, indie rock, madchester, new wave, post-punk, punk, rock, uk post-punk",208.453,70,0.765,0.000541,0.527,0.899,0.923
1980,1980s,Celebration,Kool & The Gang,9/29/1980,"disco, funk, motown, soft rock, soul",298.866,70,0.0483,0.145,0.886,0.906,0.664
1980,1980s,Super Trouper,ABBA,1980,"europop, swedish pop",252.853,73,6.35E-06,0.457,0.764,0.961,0.626
1980,1980s,Hey Nineteen,Steely Dan,11/21/1980,"album rock, classic rock, country rock, folk rock, mellow gold, rock, soft rock, yacht rock",309.018,63,0.00452,0.0374,0.936,0.822,0.249
1980,1980s,I'm Coming Out,Diana Ross,5/22/1980,"adult standards, disco, motown, quiet storm, soft rock, soul",323.346,69,0.429,0.185,0.72,0.768,0.828
1980,1980s,Baby Beluga,Raffi,1980,"canadian children's music, children's folk, children's music",160.826,62,2.17E-06,0.847,0.663,0.571,0.263
1980,1980s,All Out of Love,Air Supply,2/25/1980,soft rock,243,72,5.51E-06,0.313,0.513,0.357,0.262
1980,1980s,Biggest Part of Me,Ambrosia,3/26/1980,"soft rock, yacht rock",324.04,64,0,0.238,0.498,0.882,0.723
1980,1980s,Mountain Music,Alabama,1980,"contemporary country, country, country road, country rock",217.986,62,0,0.141,0.466,0.747,0.55
1980,1980s,Hungry Heart,Bruce Springsteen,10/17/1980,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",199.453,70,0.009,0.0857,0.641,0.972,0.894
1980,1980s,Breaking the Law,Judas Priest,1980,"album rock, alternative metal, birmingham metal, glam metal, hard rock, metal, rock",153.84,69,9.35E-06,0.024,0.362,0.491,0.961
1980,1980s,Redemption Song,Bob Marley & The Wailers,1980,"reggae, roots reggae",233.56,71,0,0.608,0.671,0.694,0.255
1980,1980s,Once in a Lifetime - 2005 Remaster,Talking Heads,10/8/1980,"alternative rock, art punk, dance rock, funk rock, new wave, permanent wave, post-punk, rock, zolo",259.906,66,0.134,0.181,0.644,0.871,0.919
1980,1980s,The Winner Takes It All,ABBA,1980,"europop, swedish pop",294.72,74,0.000766,0.574,0.454,0.52,0.788
1980,1980s,Beautiful Boy (Darling Boy) - Remastered 2010,John Lennon,11/17/1980,"classic rock, rock",245.693,67,1.96E-06,0.733,0.574,0.435,0.469
1980,1980s,Kiss on My List,Daryl Hall & John Oates,1980,"album rock, classic rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock",264.986,63,0.115,0.434,0.815,0.965,0.741
1980,1980s,Drivin' My Life Away,Eddie Rabbitt,6/20/1980,"classic country pop, country, country rock, mellow gold, soft rock",196.2,62,0.00244,0.113,0.571,0.814,0.57
1980,1980s,The Spirit Of Radio,Rush,1/1/1980,"album rock, canadian metal, classic canadian rock, classic rock, hard rock, progressive rock, rock",296.466,62,0.000254,0.0144,0.365,0.632,0.924
1980,1980s,You May Be Right,Billy Joel,3/12/1980,"album rock, classic rock, mellow gold, piano rock, rock, singer-songwriter, soft rock",253.2,62,2.60E-06,0.175,0.567,0.961,0.945
1980,1980s,This Is for the Lover in You,Shalamar,1/1/1980,"classic soul, disco, funk, motown, new jack swing, post-disco, quiet storm, soul, urban contemporary",304,58,0,0.475,0.642,0.747,0.572
1980,1980s,Steal Away - Remastered,Robbie Dupree,12/1/1980,yacht rock,213.973,58,0.000188,0.142,0.72,0.713,0.569
1980,1980s,Brass in Pocket - 2006 Remaster,Pretenders,1/11/1980,"album rock, classic rock, mellow gold, new romantic, new wave, new wave pop, permanent wave, rock, soft rock",185.96,59,0.00123,0.368,0.751,0.907,0.703
1981,1980s,Don't Stop Believin' (2022 Remaster),Journey,7/17/1981,"album rock, classic rock, hard rock, mellow gold, rock, soft rock",249.6,86,0,0.132,0.505,0.51,0.754
1981,1980s,Jessie's Girl,Rick Springfield,3/13/1981,"album rock, australian rock, classic rock, glam metal, hard rock, mellow gold, new romantic, new wave pop, soft rock, yacht rock",194.12,76,0,0.165,0.727,0.816,0.834
1981,1980s,Down Under,Men At Work,11/9/1981,"album rock, australian rock, classic rock, hard rock, mellow gold, new romantic, new wave, new wave pop, rock, soft rock",222.32,80,0.0194,0.129,0.739,0.892,0.459
1981,1980s,Tainted Love,Soft Cell,1981,"new romantic, new wave, new wave pop, synthpop",153.8,81,0,0.462,0.5,0.623,0.501
1981,1980s,Start Me Up - Remastered 2009,The Rolling Stones,8/24/1981,"album rock, british invasion, classic rock, rock",213.066,78,0.137,0.0429,0.631,0.971,0.932
1981,1980s,I Love Rock 'N Roll,Joan Jett & the Blackhearts,11/18/1981,"glam punk, rock",175.173,78,0,0.326,0.535,0.901,0.716
1981,1980s,Let's Groove,"Earth, Wind & Fire",11/14/1981,"disco, funk, jazz funk, motown, soul",339.32,76,2.17E-05,0.121,0.869,0.9,0.648
1981,1980s,Every Little Thing She Does Is Magic,The Police,10/2/1981,"album rock, classic rock, permanent wave, rock",260.573,76,0.0626,0.121,0.558,0.429,0.768
1981,1980s,In The Air Tonight - 2015 Remastered,Phil Collins,1/1/1981,"rock drums, soft rock",336.453,77,4.10E-06,0.551,0.446,0.298,0.239
1981,1980s,Tom Sawyer,Rush,2/12/1981,"album rock, canadian metal, classic canadian rock, classic rock, hard rock, progressive rock, rock",276.88,69,0.0186,0.00145,0.536,0.666,0.901
1981,1980s,Don't You Want Me,The Human League,1981,"new romantic, new wave, new wave pop, permanent wave, sophisti-pop, synthpop",236.92,76,0,0.184,0.731,0.958,0.738
1981,1980s,Never Too Much,Luther Vandross,7/23/1981,"quiet storm, soul",230.466,72,0,0.125,0.734,0.762,0.586
1981,1980s,Centerfold,The J. Geils Band,1981,"album rock, classic rock, country rock, hard rock, mellow gold, rock, singer-songwriter, soft rock",216.533,70,0,0.249,0.653,0.888,0.677
